T23,Major trading partners,,,,,,,
Region/Country/Area,,Year,Series,Major trading partner 1 (% of exports),Major trading partner 1 (% of exports) footnote,Value,Footnotes,Source
32,Argentina,2015,Major trading partner 1 (% of imports),China,,19.6,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
32,Argentina,2021,Major trading partner 1 (% of imports),China,,21.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
32,Argentina,2010,Major trading partner 2 (% of exports),China,,8.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
32,Argentina,2015,Major trading partner 2 (% of exports),China,,9.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
32,Argentina,2021,Major trading partner 2 (% of exports),China,,7.9,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
32,Argentina,2010,Major trading partner 2 (% of imports),Brazil,,32.5,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
32,Argentina,2015,Major trading partner 2 (% of imports),Brazil,,21.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
32,Argentina,2021,Major trading partner 2 (% of imports),Brazil,,19.6,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
32,Argentina,2010,Major trading partner 3 (% of exports),United States,,5.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
32,Argentina,2015,Major trading partner 3 (% of exports),United States,,6.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
32,Argentina,2021,Major trading partner 3 (% of exports),United States,,6.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
32,Argentina,2010,Major trading partner 3 (% of imports),United States,,11.8,Estimate.,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
32,Argentina,2015,Major trading partner 3 (% of imports),United States,,13.6,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
32,Argentina,2021,Major trading partner 3 (% of imports),United States,,9.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
51,Armenia,2010,Major trading partner 1 (% of exports),Russian Federation,,17.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
51,Armenia,2015,Major trading partner 1 (% of exports),Russian Federation,,15.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
51,Armenia,2021,Major trading partner 1 (% of exports),Russian Federation,,26.9,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
51,Armenia,2010,Major trading partner 1 (% of imports),Russian Federation,,22.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
51,Armenia,2015,Major trading partner 1 (% of imports),Russian Federation,,30.4,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
51,Armenia,2021,Major trading partner 1 (% of imports),Russian Federation,,33.5,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
51,Armenia,2010,Major trading partner 2 (% of exports),China,,3.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
51,Armenia,2015,Major trading partner 2 (% of exports),China,,11.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
51,Armenia,2021,Major trading partner 2 (% of exports),China,,13.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
51,Armenia,2010,Major trading partner 2 (% of imports),China,,10.6,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
51,Armenia,2015,Major trading partner 2 (% of imports),China,,9.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
51,Armenia,2021,Major trading partner 2 (% of imports),China,,16.0,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
51,Armenia,2010,Major trading partner 3 (% of exports),Switzerland,,1.7,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
51,Armenia,2015,Major trading partner 3 (% of exports),Switzerland,,2.8,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
51,Armenia,2021,Major trading partner 3 (% of exports),Switzerland,,12.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
51,Armenia,2010,Major trading partner 3 (% of imports),Iran,,5.8,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
51,Armenia,2015,Major trading partner 3 (% of imports),Iran,,6.1,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
51,Armenia,2021,Major trading partner 3 (% of imports),Iran,,8.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
533,Aruba,2010,Major trading partner 1 (% of exports),Colombia,,27.2,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed July 2022."
